Fish Name,Physical Description,Object Names
Blue triggerfish,"body: The Blue triggerfish has a laterally compressed, oval-shaped body with a rounded abdomen, typically growing to an average length of 20-30 centimeters and a maximum length of about 60 centimeters; colors: The body is predominantly blue to blue-green in color with a yellowish tint on the belly, and it has darker blue stripes running horizontally across the body, with a lighter blue stripe running vertically through the eye; features: The fish has a distinctive 'trigger' mechanism on its dorsal fin, which consists of three spines that can be locked into place, and it also has a long, pointed snout and large, protruding teeth; unique_marks: A distinctive characteristic of the Blue triggerfish is the blue and yellow stripes on its face, and the presence of a blue stripe running through the eye, which helps to distinguish it from other triggerfish species.","fish_images/Blue-triggerfish/blue-triggerfish-001.png, fish_images/Blue-triggerfish/blue-triggerfish-002.png, fish_images/Blue-triggerfish/blue-triggerfish-003.png"
Halfmoon triggerfish,"body: The Halfmoon triggerfish has a laterally compressed, oval-shaped body that can grow up to 12 inches in length, with an average weight of 2-4 pounds; colors: The fish has a vibrant yellowish-brown color on its upper body, gradually transitioning to a pale yellowish-white on the lower body, with blue and yellow stripes on the head and blue spots on the fins; features: It has large dorsal and anal fins, a distinctive 'trigger' mechanism on its dorsal fin that it uses for defense, and rough, sandpapery scales; unique_marks: The most distinctive feature of the Halfmoon triggerfish is the large, crescent-shaped caudal fin, which is yellow with blue spots and has a distinctive 'half-moon' shape, giving the fish its common name.","fish_images/Halfmoon-triggerfish/halfmoon-triggerfish-001.png, fish_images/Halfmoon-triggerfish/halfmoon-triggerfish-002.png, fish_images/Halfmoon-triggerfish/halfmoon-triggerfish-003.png"
Zebra turkeyfish,"body: The Zebra turkeyfish has a moderately elongated and compressed body shape, typically growing to a length of 20-25 centimeters; colors: The body of the Zebra turkeyfish is primarily yellow with 5-7 vertical brown stripes, while the belly is white, and the fins are yellow with brown spots; features: The Zebra turkeyfish has large dorsal and anal fins with long, pointed spines, and its scales are relatively large and rough to the touch, the head shape is rounded with a long, pointed snout; unique_marks: A distinctive characteristic of the Zebra turkeyfish is the presence of long, venomous spines on its dorsal, anal, and pelvic fins, which it uses for defense purposes.","fish_images/Zebra-turkeyfish/zebra-turkeyfish-001.png, fish_images/Zebra-turkeyfish/zebra-turkeyfish-002.png, fish_images/Zebra-turkeyfish/zebra-turkeyfish-003.png"
Clearfin lionfish,"body: The Clearfin lionfish has a long, slender body with a rounded abdomen and a compressed tail, typically growing to a length of 8-12 inches; colors: The Clearfin lionfish has a white or translucent body with vertical brown or reddish-brown stripes, often with a yellowish tint on the fins and belly; features: It has large, fan-like pectoral fins, long dorsal and anal fins with 13 rays, and small scales that are often difficult to see, its head is relatively small with a short snout and a large mouth; unique_marks: A distinctive feature of the Clearfin lionfish is the absence of dark spots or blotches on its fins, which differentiates it from other lionfish species, it also has a transparent or semi-transparent appearance due to the lack of pigmentation in its fins.","fish_images/Clearfin-lionfish/clearfin-lionfish-001.png, fish_images/Clearfin-lionfish/clearfin-lionfish-002.png, fish_images/Clearfin-lionfish/clearfin-lionfish-003.png"
Red lionfish,"body: The Red lionfish has a compressed, elongated body shape, typically measuring 5-15 inches in length and weighing up to 2.6 pounds; colors: The Red lionfish has striking coloration patterns, featuring a combination of red, brown, and white stripes or spots, with a predominantly reddish-brown body and white or yellowish belly; features: The species is characterized by long, feathery pectoral fins, short dorsal and anal fins, and a rounded head shape, with a mouth full of tiny, venomous teeth, and large, fan-like dorsal fins with long, venomous spines; unique_marks: One of the most distinctive features of the Red lionfish is the presence of 13 dorsal spines, each equipped with venomous glands, as well as the unique pattern of stripes or spots that vary between individuals, allowing for identification of specific fish.","fish_images/Red-lionfish/red-lionfish-001.png, fish_images/Red-lionfish/red-lionfish-002.png, fish_images/Red-lionfish/red-lionfish-003.png"
False stonefish,"body: The False stonefish has an elongated and flattened body, with a rounded head and a long, tapering tail, reaching lengths of approximately 20-30 centimeters; colors: The False stonefish displays a mottled brown and grey coloration, often with a lighter underside, allowing it to blend in with its surroundings, and features darker blotches or spots on its back; features: It has large dorsal and anal fins, with the dorsal fin being notched, and a distinctive head shape featuring a long snout, small eyes, and a large mouth; unique_marks: One of its most distinctive features is the presence of small, fleshy filaments or cirri on its head, snout, and around the mouth, which help to distinguish it from other stonefish species, and also has a unique pattern of small, darker spots or blotches on its body.","fish_images/False-stonefish/false-stonefish-001.png, fish_images/False-stonefish/false-stonefish-002.png, fish_images/False-stonefish/false-stonefish-003.png"
Tassled scorpionfish,"body: The Tassled scorpionfish has a stout, elongated body that is slightly compressed laterally, typically growing to a length of 20-40 cm, with a maximum recorded length of about 60 cm; colors: The coloration pattern of the Tassled scorpionfish varies, but it is often mottled brown or reddish-brown with lighter or darker blotches, and sometimes has a yellowish tint on the belly, with the ability to change color to some extent to blend in with its surroundings; features: The Tassled scorpionfish has a distinctive head shape with a long, pointed snout, large eyes, and a mouth that is equipped with many small, sharp teeth, its body is covered with small, rough scales and it has long, thin dorsal fin spines, as well as large pectoral fins with a feathery appearance due to the long filaments on the rays; unique_marks: One of the most distinctive features of the Tassled scorpionfish is the long, thin filaments or 'tassels' that are found on its snout, chin, and the rays of its pectoral fins, which give it its common name, and it also has a distinctive pattern of dark spots or blotches on its dorsal fin.","fish_images/Tassled-scorpionfish/tassled-scorpionfish-001.png, fish_images/Tassled-scorpionfish/tassled-scorpionfish-002.png, fish_images/Tassled-scorpionfish/tassled-scorpionfish-003.png"
Powderblue surgeonfish,"body: The Powderblue surgeonfish has a compressed, oval-shaped body that is typically between 20-30 centimeters in length, with a maximum recorded length of 35 centimeters; colors: The species has a vibrant powder blue color with a yellow belly and a white stripe running along the lateral line, which is often accompanied by a thin blue stripe above and below it; features: The Powderblue surgeonfish has a distinctive scalpel-like spine on either side of the caudal peduncle, which is used for defense, and a long, pointed snout, with a small mouth and a protruding jaw; unique_marks: The species can be identified by the combination of its powder blue coloration, yellow belly, and white stripe along the lateral line, as well as the presence of a distinctive black spot at the base of the dorsal fin and a smaller black spot on the anal fin.","fish_images/Powderblue-surgeonfish/powderblue-surgeonfish-001.png, fish_images/Powderblue-surgeonfish/powderblue-surgeonfish-002.png, fish_images/Powderblue-surgeonfish/powderblue-surgeonfish-003.png"
Clark's anemonefish,"body: Clark's anemonefish have a compressed oval body shape with a rounded abdomen, typically growing to a length of about 3.9 to 5.5 inches or 10 to 14 centimeters; colors: They display a vibrant orange color with three white stripes, one behind the eye, one in the middle of the body, and one at the base of the tail, with the stripes often being slightly wavy; features: They have long dorsal and anal fins, small scales, and a relatively small head with a short snout; unique_marks: A distinctive characteristic is the absence of a white stripe on the snout and the presence of a prominent black margin on the outer edge of the dorsal and anal fins, which differentiates Clark's anemonefish from other anemonefish species.","fish_images/Clark's-anemonefish/clark's-anemonefish-001.png, fish_images/Clark's-anemonefish/clark's-anemonefish-002.png, fish_images/Clark's-anemonefish/clark's-anemonefish-003.png"
Tomato clownfish,"body: The Tomato clownfish has a typical clownfish body shape, being oval and slightly compressed, with an average length of 3-5 inches or 7-13 centimeters; colors: The main body color is a vibrant orange-red, with a white stripe behind the eye and above the pectoral fin, and white stripes on the snout and near the caudal fin; features: The Tomato clownfish has a rounded head, long dorsal fin, and a short, pointed snout, with small, rough scales; unique_marks: A distinctive characteristic of the Tomato clownfish is the white stripe behind the eye that is often broken into two separate stripes, and the white stripe on the snout that often extends to the mouth.","fish_images/Tomato-clownfish/tomato-clownfish-001.png, fish_images/Tomato-clownfish/tomato-clownfish-002.png, fish_images/Tomato-clownfish/tomato-clownfish-003.png"
Ocellaris clownfish,"body: The Ocellaris clownfish has a oval-shaped body, typically growing to a length of 3-5 inches (7.5-13 cm) with a maximum recorded length of about 5.5 inches (14 cm); colors: The Ocellaris clownfish is predominantly orange in color with three white stripes, one behind the eye, one in the middle of the body, and one at the base of the tail, with black outlines on the fins and stripes; features: It has a rounded head, a small mouth, and a long dorsal fin that is divided into two parts, the anterior part having 10-11 spines and the posterior part having 15-17 rays, its anal fin has 2 spines and 13-15 rays, and its body is covered in small, rough scales; unique_marks: A distinctive characteristic of the Ocellaris clownfish is the absence of pelvic fins, and it also has a unique symbiotic relationship with certain species of sea anemones, which provide it with protection from predators.","fish_images/Ocellaris-clownfish/ocellaris-clownfish-001.png, fish_images/Ocellaris-clownfish/ocellaris-clownfish-002.png, fish_images/Ocellaris-clownfish/ocellaris-clownfish-003.png"
Pink skunk clownfish,"body: The Pink skunk clownfish has a typical clownfish body shape, which is oval and slightly compressed, with a rounded abdomen, it is a relatively small species, typically growing to a length of about 3-4 inches; colors: The Pink skunk clownfish has a pinkish-brown body with a white stripe running behind the eye, and a second white stripe that starts at the mid-body and curves backward, the belly area is usually pale yellow to white; features: It has a small mouth and a protruding snout, the dorsal fin is long and continuous, with 10-11 spines and 17-19 soft rays, the anal fin has 2 spines and 13-15 soft rays, the scales are small and smooth; unique_marks: The distinctive feature of the Pink skunk clownfish is the white stripe behind the eye and the second white stripe that curves backward from the mid-body, these stripes can be used to distinguish it from other clownfish species, it also lacks the orange or red coloration that is typical of many other clownfish species.","fish_images/Pink-skunk-clownfish/pink-skunk-clownfish-001.png, fish_images/Pink-skunk-clownfish/pink-skunk-clownfish-002.png, fish_images/Pink-skunk-clownfish/pink-skunk-clownfish-003.png"
Green humphead parrotfish,"body: The Green humphead parrotfish has a robust, elongated body shape, typically growing to a length of 30-90 centimeters, with a maximum recorded length of 1.2 meters; size: The average weight of the species is around 20 kilograms, with a maximum recorded weight of 46 kilograms; colors: The Green humphead parrotfish displays a vibrant green coloration on its back, gradually transitioning to a lighter green or yellowish-green towards the belly, often with a yellow or white stripe running along the lateral line; features: The species is characterized by a distinctive hump on its forehead, which is more pronounced in males, and a parrot-like beak formed by fused teeth; unique_marks: A notable unique identifying characteristic of the Green humphead parrotfish is the presence of a distinctive green stripe that runs from the snout to the eye, and the vibrant green coloration on the dorsal and anal fins, which are also adorned with yellow or white highlights.","fish_images/Green-humphead-parrotfish/green-humphead-parrotfish-001.png, fish_images/Green-humphead-parrotfish/green-humphead-parrotfish-002.png, fish_images/Green-humphead-parrotfish/green-humphead-parrotfish-003.png"
Yellowback fusilier,"body: The Yellowback fusilier has a slender, elongated body shape, typically growing to a length of 30-40 centimeters, with a maximum recorded length of about 50 centimeters; colors: Its body is predominantly blue or blue-green in color, with a bright yellow stripe running along its back from the head to the tail, and a white or pale yellow belly; features: It has a pointed snout and a relatively small mouth, with a dorsal fin that has 11-12 spines and 9-10 soft rays, and an anal fin with 3 spines and 9-10 soft rays; unique_marks: A distinctive characteristic of the Yellowback fusilier is its bright yellow stripe on its back, which is often accompanied by a series of blue or yellow spots or stripes on the dorsal and anal fins.","fish_images/Yellowback-fusilier/yellowback-fusilier-001.png, fish_images/Yellowback-fusilier/yellowback-fusilier-002.png, fish_images/Yellowback-fusilier/yellowback-fusilier-003.png"
Yellowspotted trevally,"body: The Yellowspotted trevally has an elongated, fusiform body shape, typically growing to a maximum length of 50 centimeters and a maximum weight of 1.5 kilograms, with a relatively compressed body; colors: The body of the Yellowspotted trevally is generally a metallic blue-green color with a yellowish tint on the sides and belly, featuring numerous small yellow spots that are scattered over the body, with a distinctive yellow stripe running along the lateral line; features: The Yellowspotted trevally has a pointed snout, a moderately large eye, and a small mouth with a protruding lower jaw, featuring a single dorsal fin with 8 spines and 19-21 soft rays, and a forked caudal fin; unique_marks: A distinctive characteristic of the Yellowspotted trevally is the presence of small yellow spots covering the entire body, which fade with age, and a yellow stripe running along the lateral line that remains visible throughout its life.","fish_images/Yellowspotted-trevally/yellowspotted-trevally-001.png, fish_images/Yellowspotted-trevally/yellowspotted-trevally-002.png, fish_images/Yellowspotted-trevally/yellowspotted-trevally-003.png"
Giant trevally,"body: The Giant trevally has a streamlined, elongated body shape, typically silver or blue-gray in color, with a rounded abdomen and a pointed snout, and can grow up to 1.7 meters in length and weigh up to 60 kilograms, although the average length is around 1 meter; colors: The body is usually metallic blue or blue-gray above and silvery below, with a golden sheen on the sides, and sometimes has a darker blue or black spot on the upper operculum; features: The Giant trevally has a distinctive pointed snout, a sloping forehead, and a large mouth with many small teeth, its dorsal fin is divided into two separate fins, the first with 5 spines and the second with 1 spine and 20-24 soft rays, and its anal fin has 2 spines and 16-18 soft rays, the scales are small and cycloid; unique_marks: A distinctive characteristic of the Giant trevally is the presence of small, darker blue or black spots on the upper operculum and sometimes on the sides, and the golden sheen on the sides that can be visible in certain lighting conditions.","fish_images/Giant-trevally/giant-trevally-001.png, fish_images/Giant-trevally/giant-trevally-002.png, fish_images/Giant-trevally/giant-trevally-003.png"
Bluefin trevally,"body: The Bluefin trevally has a moderately compressed, elongated body with a rounded abdomen and a pointed snout, typically growing up to 70 centimeters in length, but can reach up to 1 meter; colors: The Bluefin trevally has a blue-green back, silvery sides, and a white belly, with a distinctive blue stripe running along the lateral line, and a yellow or golden stripe above and below the lateral line; features: The Bluefin trevally has a pointed snout, a relatively small mouth, and a distinctive dorsal fin with a long base and a pointed tip, the anal fin is similar in shape to the dorsal fin but slightly smaller, the scales are relatively small and cycloid; unique_marks: A distinctive blue stripe running along the lateral line and a yellow or golden stripe above and below the lateral line, as well as a black spot on the upper operculum and a black blotch on the operculum.","fish_images/Bluefin-trevally/bluefin-trevally-001.png, fish_images/Bluefin-trevally/bluefin-trevally-002.png, fish_images/Bluefin-trevally/bluefin-trevally-003.png"
Bigeye trevally,"body: The Bigeye trevally has a streamlined, elongated body shape with a slightly compressed lateral profile, typically growing to a maximum length of 80 centimeters and weighing up to 18 kilograms, although the average length is around 40-60 centimeters; colors: The body is a silvery-gray color with a blue-green back and white belly, sometimes displaying a yellowish tint on the sides, and often featuring a series of darker vertical stripes or spots along the sides; features: The Bigeye trevally has a pointed snout, large eyes, and a slightly curved dorsal profile, with a single dorsal fin, a small adipose eyelid, and a forked caudal fin, its scales are small and cycloid; unique_marks: A distinctive characteristic of the Bigeye trevally is its large eyes, which are significantly larger than those of other trevally species, and its unique pattern of vertical stripes or spots along the sides, which can help distinguish it from other similar species.","fish_images/Bigeye-trevally/bigeye-trevally-001.png, fish_images/Bigeye-trevally/bigeye-trevally-002.png, fish_images/Bigeye-trevally/bigeye-trevally-003.png"
Argus grouper,"body: The Argus grouper has an elongated, robust body shape with a slightly rounded abdomen and a relatively long, pointed snout, typically growing up to 1.7 meters in length and weighing up to 70 kilograms; colors: It has a brownish-gray color with numerous small, darker spots and blotches, often forming a distinctive pattern of vertical stripes on the sides, while the belly is usually pale yellowish-brown; features: The Argus grouper has a distinctive pattern of spots on its fins, with the dorsal fin having 11 spines and 16-17 soft rays, the anal fin having 3 spines and 8-9 soft rays, and the caudal fin being rounded, its scales are ctenoid, and the head is relatively large with a protruding lower jaw; unique_marks: One of its unique identifying characteristics is a series of small, dark spots or blotches on the operculum, forming a distinctive pattern, and the presence of a distinctive dark stripe running through the eye, from the snout to the operculum.","fish_images/Argus-grouper/argus-grouper-001.png, fish_images/Argus-grouper/argus-grouper-002.png, fish_images/Argus-grouper/argus-grouper-003.png"
Coral hind,"body: The Coral hind has an elongated, oval-shaped body with a slightly compressed profile, typically growing to a maximum length of 60 centimeters and weighing up to 4 kilograms; colors: The body is generally reddish-brown to pinkish-brown in color with a white belly, and often features a series of vertical, darker stripes or blotches along the sides; features: It has a pointed snout, a large mouth with many small teeth, and a distinctive hump on the forehead, its dorsal fin is divided into two parts with the first part having 11 spines and the second part having 15-17 soft rays, the anal fin has 3 spines and 8-9 soft rays, and the scales are small and rough; unique_marks: A distinctive characteristic of the Coral hind is the presence of a prominent hump or bump on the forehead, and the vertical stripes or blotches along the sides of the body that can vary in intensity depending on the environment and the age of the fish.","fish_images/Coral-hind/coral-hind-001.png, fish_images/Coral-hind/coral-hind-002.png, fish_images/Coral-hind/coral-hind-003.png"
Eastern triangle butterflyfish,"body: The Eastern triangle butterflyfish has an oval-shaped body that is moderately compressed, with a length of approximately 12-15 centimeters; colors: The body is primarily yellow with a black triangle-shaped mark on the rear of the body, a black stripe running through the eye, and a yellow stripe above and below the black stripe, with blue highlights on the fins and scales; features: The fish has a pointed snout, a small mouth, and a continuous dorsal fin with 13 spines and 18-20 rays, the anal fin has 3 spines and 18-20 rays, the caudal fin is rounded, and the scales are small and rough to the touch; unique_marks: A distinctive black triangle-shaped mark on the rear of the body, a black stripe running through the eye, and blue highlights on the fins and scales, which distinguish it from other butterflyfish species.","fish_images/Eastern-triangle-butterflyfish/eastern-triangle-butterflyfish-001.png, fish_images/Eastern-triangle-butterflyfish/eastern-triangle-butterflyfish-002.png, fish_images/Eastern-triangle-butterflyfish/eastern-triangle-butterflyfish-003.png"
Redtail butterflyfish,"body: The Redtail butterflyfish has a flat, oval-shaped body with a rounded abdomen and a slightly pointed snout, typically growing to an average length of 6-8 inches (15-20 cm) and a maximum length of around 10 inches (25 cm); colors: The body is predominantly yellow with a black stripe running vertically through the eye, a black stripe along the upper back, and a black stripe along the lower back that ends in a red stripe at the tail, the dorsal and anal fins have yellow and black stripes, and the tail is red with a black stripe; features: The Redtail butterflyfish has long, pointed dorsal and anal fins, a small mouth, and large, round eyes, its scales are small and smooth, and its head is shaped like a triangle with a pointed snout; unique_marks: A distinctive black stripe running vertically through the eye and a bright red stripe at the tail are the unique identifying characteristics of the Redtail butterflyfish.","fish_images/Redtail-butterflyfish/redtail-butterflyfish-001.png, fish_images/Redtail-butterflyfish/redtail-butterflyfish-002.png, fish_images/Redtail-butterflyfish/redtail-butterflyfish-003.png"
Indian vagabond butterflyfish,"body: The Indian vagabond butterflyfish has an oval-shaped body that is moderately compressed, typically growing up to 12-15 centimeters in length; colors: The fish displays a predominantly yellow body with a brownish-black stripe running vertically through the eye, and a series of diagonal brownish-black stripes along the sides, with a yellow tail and yellow fins; features: It has a pointed snout, a small mouth, and a continuous dorsal fin with 11-13 spines and 16-18 rays, and the anal fin has 3 spines and 16-18 rays; unique_marks: A distinctive black spot on the rear of the dorsal fin and a white stripe above the eye are unique identifying characteristics of this species.","fish_images/Indian-vagabond-butterflyfish/indian-vagabond-butterflyfish-001.png, fish_images/Indian-vagabond-butterflyfish/indian-vagabond-butterflyfish-002.png, fish_images/Indian-vagabond-butterflyfish/indian-vagabond-butterflyfish-003.png"
Scrawled butterflyfish,"body: The Scrawled butterflyfish has a deep, flattened body with a rounded abdomen, typically growing to a length of 7-10 inches or 18-25 centimeters; colors: The species features a yellowish-brown to dark brown body with a distinctive scrawled or scribbled pattern of darker lines, often with a yellow or white stripe running from the eye to the mouth and yellow highlights on the fins; features: It has a long, pointed snout, a small mouth, and a continuous dorsal fin with 13-15 spines and 19-21 rays, its anal fin has 3 spines and 18-20 rays, the caudal fin is rounded, and its scales are small and rough to the touch; unique_marks: The scrawled pattern on its body and the yellow stripe running from the eye to the mouth serve as unique identifying characteristics for this species.","fish_images/Scrawled-butterflyfish/scrawled-butterflyfish-001.png, fish_images/Scrawled-butterflyfish/scrawled-butterflyfish-002.png, fish_images/Scrawled-butterflyfish/scrawled-butterflyfish-003.png"
Eightband butterflyfish,"body: The Eightband butterflyfish has a compressed, oval-shaped body, typically growing to a length of about 15-20 centimeters; colors: The fish has a predominantly yellow body with eight vertical black stripes, a black stripe running behind the eye, and a black stripe at the base of the tail; features: It has a pointed snout, a small mouth, and long, pointed dorsal and anal fins, with a rounded tail fin; unique_marks: The Eightband butterflyfish can be distinguished by its distinctive eight vertical black stripes on the body and a black stripe behind the eye, as well as its long, pointed snout and fins.","fish_images/Eightband-butterflyfish/eightband-butterflyfish-001.png, fish_images/Eightband-butterflyfish/eightband-butterflyfish-002.png, fish_images/Eightband-butterflyfish/eightband-butterflyfish-003.png"
Latticed butterflyfish,"body: The Latticed butterflyfish has a compressed, oval-shaped body with a moderate size, typically growing up to 15 centimeters in length; colors: The species has a yellowish-brown body with a lattice-like pattern of darker brown stripes, and the belly is white, with a distinctive black stripe running through the eye and a yellow stripe above it; features: The fish has a long, pointed snout, a small mouth, and a continuous dorsal fin, with the anal fin being slightly smaller, and the scales are small and rough to the touch; unique_marks: A distinctive characteristic of the Latticed butterflyfish is the presence of a black spot on the upper part of the operculum, and the lattice-like pattern on the body, which is made up of thin, dark brown stripes that intersect to form a network-like design.","fish_images/Latticed-butterflyfish/latticed-butterflyfish-001.png, fish_images/Latticed-butterflyfish/latticed-butterflyfish-002.png, fish_images/Latticed-butterflyfish/latticed-butterflyfish-003.png"
Humphead wrasse,"body: The Humphead wrasse has a large, elongated body that can grow up to 2 meters in length and weigh up to 190 kilograms, making it one of the largest species of wrasse; size: The average length of a mature Humphead wrasse is around 1.5 meters; colors: The body is typically greenish-blue to blue-green in color, with a series of six to seven vertical stripes on the sides, and a distinctive white or yellowish stripe running from the mouth to the pectoral fin; features: The Humphead wrasse has a distinctive hump on its forehead, which is more pronounced in males, and a long, pointed snout; it also has large, fleshy lips and sharp teeth; the dorsal fin is continuous, with nine spines and 19-21 soft rays; the anal fin has three spines and 15-17 soft rays; unique_marks: One of the most distinctive features of the Humphead wrasse is the prominent hump on its forehead, which is thought to be used for defense and intimidation; the species also has a unique pattern of scales, with each scale having a dark spot in the center, giving the appearance of a series of small spots along the body.","fish_images/Humphead-wrasse/humphead-wrasse-001.png, fish_images/Humphead-wrasse/humphead-wrasse-002.png, fish_images/Humphead-wrasse/humphead-wrasse-003.png"
Humpback grouper,"body: The Humpback grouper has an elongated, robust body shape with a distinctive hump or bump on its forehead, just above the eyes, which is more pronounced in adults; adults typically reach a length of 40-60 cm, with a maximum recorded length of about 80 cm and a weight of up to 10 kg; body depth is approximately 2.5-3 times in standard length; body shape can vary slightly depending on age and sex; features: The dorsal fin has 11 spines and 16-18 soft rays, while the anal fin has 3 spines and 8-10 soft rays; scales are small and ctenoid, with a rough texture; head shape is slightly pointed, with a slightly convex upper profile; eyes are relatively large, with a diameter about 1/3 of the head length; unique_marks: The Humpback grouper is characterized by its distinctive hump on the forehead, a rounded caudal fin, and a pattern of 5-7 broad, dark vertical bars on the body, which may fade or become less prominent in larger individuals; colors: The base color of the Humpback grouper is typically pale brown or greyish-brown, with the 5-7 dark vertical bars and often with small, darker spots or blotches on the body and fins.","fish_images/Humpback-grouper/humpback-grouper-001.png, fish_images/Humpback-grouper/humpback-grouper-002.png, fish_images/Humpback-grouper/humpback-grouper-003.png"
Honeycomb grouper,"body: The Honeycomb grouper has an elongated, robust body shape with a rounded abdomen, typically growing up to 75 centimeters in length and weighing a maximum of 7 kilograms, although the average length is around 40-50 centimeters; colors: The body of the Honeycomb grouper is predominantly brown with a yellowish tint, featuring a distinctive honeycomb-like pattern of darker brown or black spots and blotches that are more pronounced on the dorsal side; features: The fish has a slightly pointed head with a protruding lower jaw, large eyes, and a distinctive pattern of small, dark spots on the operculum, the dorsal fin has 11 spines and 16-17 soft rays, while the anal fin has 3 spines and 8 soft rays, the scales are small and ctenoid; unique_marks: A distinctive characteristic of the Honeycomb grouper is the presence of small, dark spots on the maxilla, which extends to the operculum, and the honeycomb-like pattern of darker spots on the body that fades with age.","fish_images/Honeycomb-grouper/honeycomb-grouper-001.png, fish_images/Honeycomb-grouper/honeycomb-grouper-002.png, fish_images/Honeycomb-grouper/honeycomb-grouper-003.png"
Potato cod,"body: The Potato cod is a medium-sized fish with a robust, oval-shaped body that is laterally compressed, typically growing to an average length of 60-80 cm, with a maximum recorded length of 120 cm and a weight of up to 25 kg; colors: The body of the Potato cod is usually pale brown to greyish-brown in color, with a series of darker brown to black spots and blotches, often forming a mottled or marbled pattern, the belly is pale and often has a yellowish tint; features: The Potato cod has a distinctive head shape with a steep forehead profile, a protruding lower jaw, and a large mouth with many small teeth, the dorsal fin is divided into two parts, with the first part having 11 spines and the second part having 14-16 soft rays, the anal fin has 3 spines and 8-9 soft rays, the scales are rough to the touch and have a distinctive pattern of fine ridges; unique_marks: A distinctive characteristic of the Potato cod is the presence of a prominent hump on the forehead, just above the eyes, which is more pronounced in larger individuals, this hump is often accompanied by a series of small, fleshy growths or bumps on the forehead and snout.","fish_images/Potato-cod/potato-cod-001.png, fish_images/Potato-cod/potato-cod-002.png, fish_images/Potato-cod/potato-cod-003.png"
Yellow longnose butterflyfish,"body: elongated and compressed, typically growing up to 20-25 centimeters in length; colors: predominantly yellow with a series of diagonal stripes on the body, often with a darker yellow or brown stripe running along the upper back, and a black stripe through the eye; features: long snout, small mouth, and a continuous dorsal fin with 13-14 spines, anal fin with 16-17 rays, and a rounded tail; unique_marks: distinctive black stripe through the eye, and a long pointed snout that is about one-third the length of the head.","fish_images/Yellow-longnose-butterflyfish/yellow-longnose-butterflyfish-001.png, fish_images/Yellow-longnose-butterflyfish/yellow-longnose-butterflyfish-002.png, fish_images/Yellow-longnose-butterflyfish/yellow-longnose-butterflyfish-003.png"
Dogtooth tuna,"body: The dogtooth tuna has a streamlined, torpedo-shaped body, typically growing to 60-100 cm in length and weighing up to 20 kg, with the maximum recorded length being around 120 cm; colors: The dogtooth tuna has a metallic blue color on its back, which gradually fades to silver on its sides and white on its belly, with a distinctive pattern of wavy, yellow or golden stripes running along its sides; features: It has a conical head, a pointed snout, and large eyes, with a distinctive set of large, canine-like teeth, its dorsal fin is set far back on its body and is relatively small, the anal fin is slightly larger and more pointed, and its scales are small and smooth; unique_marks: One of the most distinctive features of the dogtooth tuna is the presence of large, sharp teeth in both jaws, which are used for catching and eating prey, and its lateral line is also slightly curved and does not have a pronounced arch.","fish_images/Dogtooth-tuna/dogtooth-tuna-001.png, fish_images/Dogtooth-tuna/dogtooth-tuna-002.png, fish_images/Dogtooth-tuna/dogtooth-tuna-003.png"
Checkerboard wrasse,"body: The Checkerboard wrasse has a moderately elongated body shape, typically growing to a maximum length of about 20-25 centimeters, with a relatively slender build; colors: The Checkerboard wrasse is characterized by a striking color pattern, with a predominantly yellowish-brown to greenish-brown body covered in a distinctive checkerboard-like pattern of darker brown or black squares, separated by lighter yellow or green lines; features: This species has a pointed snout, a relatively small mouth, and large eyes, with long, pointed pectoral fins and a rounded caudal fin, its scales are relatively small and smooth; unique_marks: A unique identifying characteristic of the Checkerboard wrasse is the presence of a distinctive dark stripe running along the base of the dorsal fin, as well as a series of darker spots or blotches along the lateral line, which can help distinguish it from other similar-looking wrasse species.","fish_images/Checkerboard-wrasse/checkerboard-wrasse-001.png, fish_images/Checkerboard-wrasse/checkerboard-wrasse-002.png, fish_images/Checkerboard-wrasse/checkerboard-wrasse-003.png"
Pennant coralfish,"body: The Pennant coralfish has an elongated, compressed body shape, typically growing up to 25 centimeters in length; colors: The body of the Pennant coralfish is primarily yellow with blue stripes running horizontally, it also features blue stripes on its face, yellow fins, and a yellow tail with blue edges; features: It has a pointed snout, large eyes, and a small mouth, its dorsal fin is divided into two parts with 11-12 spines in the first part and 16-18 rays in the second part; unique_marks: The Pennant coralfish is identified by its distinctive blue stripe running through its eye, and its long, pointed snout that is slightly upturned, it also has a prominent hump on the forehead just above the eyes.","fish_images/Pennant-coralfish/pennant-coralfish-001.png, fish_images/Pennant-coralfish/pennant-coralfish-002.png, fish_images/Pennant-coralfish/pennant-coralfish-003.png"
Schooling bannerfish,"body: The Schooling bannerfish has an elongated, laterally compressed body with a rounded abdomen and a pointed snout, typically growing to a length of 12 to 20 inches; colors: The body is predominantly yellow with 3 broad black vertical stripes, the first stripe runs through the eye, the second stripe runs just behind the pectoral fin, and the third stripe runs just before the caudal fin, with a black stripe running along the base of the dorsal fin; features: The dorsal fin is long and banner-like, with 9 spines and 24-26 rays, the anal fin has 3 spines and 20-22 rays, the scales are small and rough, and the head is pointed with a small mouth; unique_marks: The distinctive black stripes and the long, banner-like dorsal fin are the most notable identifying characteristics of the Schooling bannerfish.","fish_images/Schooling-bannerfish/schooling-bannerfish-001.png, fish_images/Schooling-bannerfish/schooling-bannerfish-002.png, fish_images/Schooling-bannerfish/schooling-bannerfish-003.png"
