Fish Name,Thai Fish Name,Scientific Name,Order Name,General Description,Physical Description,habitat,Avg Length(cm),Avg Age(years),Avg DepthLevel(m),Avg Weight(kg)
Clown triggerfish,ปลาวัวมงกุฎ,Balistoides conspicillum,Tetraodontiformes,"A striking, solitary triggerfish with bold black and white spots and yellow markings. Found on clear external reef slopes in the Indo-Pacific, it is territorial and aggressive. Feeds on benthic invertebrates; popular but demanding in aquariums. Grows up to 50 cm.","body: The Clown triggerfish has a compressed, oval-shaped body, typically growing to a length of 16-20 inches (40-50 cm) and weighing up to 3 pounds (1.4 kg), with a maximum recorded length of 24 inches (60 cm); colors: The fish has a predominantly yellowish-brown body with distinctive white or yellow stripes, and a black stripe running across the eyes, with a blue or greenish tint on the fins and tail; features: It has large dorsal and anal fins with a distinctive 'trigger' mechanism, which is actually a dorsal spine that can be raised and locked in place for defense, the scales are large and rough, and the head is relatively small with a short snout; unique_marks: The most distinctive feature of the Clown triggerfish is the long, pointed snout-like extension on the lower jaw, which is actually a modified mouthpart used for eating and manipulating food, and the vibrant yellow or white stripes on the body that can vary in intensity depending on the fish's mood and environment.","External reef slopes with clear water in tropical/subtropical Indian and western Pacific Oceans; adults to 75 m, juveniles below 20 m near caves/overhangs.",40,10,30,1.2
Titan triggerfish,ปลาวัวไททัน,Balistoides viridescens,Tetraodontiformes,"The largest triggerfish in the Indo-Pacific, titan triggerfish is solitary, diurnal, and highly territorial, especially during nesting. It feeds on sea urchins, molluscs, crustaceans, and coral, often stirring up sand and rocks. Can be aggressive toward intruders; grows up to 75 cm.","body: The Titan triggerfish has a robust, oval-shaped body that is laterally compressed, typically growing up to 75 centimeters in length, although the average length is around 30-60 centimeters, and can weigh up to 7 kilograms; colors: The Titan triggerfish has a distinctive coloration pattern, with a blue-green back and white belly, featuring yellow or white spots or stripes on the upper body, and blue or green stripes on the lower body, with a blue or yellow stripe running from the mouth to the pectoral fin; features: The Titan triggerfish has a distinctive 'trigger' mechanism, which is formed by the dorsal and anal fins, with the dorsal fin having three spines, the first of which is very long and can be locked in place, the anal fin having three spines as well, and the caudal fin being crescent-shaped; unique_marks: A unique identifying characteristic of the Titan triggerfish is the presence of a pattern of blue or yellow lines radiating from the eye, as well as the blue or yellow stripe running from the mouth to the pectoral fin.","Lagoons and coral reefs throughout Indo-Pacific (except Hawaii), to depths of 50 m; nests in flat sandy areas, highly territorial during breeding.",60,15,25,4
Spot-fin porcupinefish,ปลาปักเป้าหนามทุเรียนครีบจุด,Diodon hystrix,Tetraodontiformes,"A solitary, nocturnal porcupinefish found in tropical and subtropical seas worldwide. Inflates and raises spines for defense, with tetrodotoxin in organs. Shelters in reefs and caves by day, feeds on sea urchins, gastropods, and crustaceans. Grows up to 91 cm.","body: The Spot-fin porcupinefish has a rounded body shape that is somewhat elongated, with a maximum length of approximately 50 centimeters; colors: Its coloration pattern typically features a brownish-yellow or tan background with darker brown spots or blotches, and a white or pale yellow belly; features: It has large, pectoral fins and small dorsal and anal fins, with a distinctive head shape that includes a short snout and relatively small eyes, its body is also covered in sharp, erectile spines that provide protection; unique_marks: A distinctive characteristic of the Spot-fin porcupinefish is the presence of a dark spot on the posterior margin of the pectoral fin, which is usually surrounded by a lighter-colored ring, this spot can be used to distinguish it from other porcupinefish species.","Tropical/subtropical oceans globally, including Mediterranean; juveniles pelagic to 20 cm, adults in lagoons, coral/rocky reefs, 1–50 m depth, sheltering under ledges/caves.",40,12,20,2.5
Redtoothed triggerfish,ปลาวัวดำ,Odonus niger,Tetraodontiformes,"A dark blue, highly maneuverable triggerfish found in tropical Indo-Pacific reefs and open waters. Noted for its red teeth, lyre-shaped caudal fin, and unique swimming style. Often seen in groups near the surface, feeding on plankton and sponges. Grows up to 50 cm.","body: The Redtoothed triggerfish has an oval-shaped body that is laterally compressed, typically growing to a length of 20-30 centimeters, with a maximum recorded length of about 40 centimeters; colors: The body is predominantly yellowish-brown with a distinctive red coloration on the teeth and the inside of the mouth, and a series of vertical yellow or white stripes that may fade with age; features: The dorsal fin is divided into three spines and 23-26 soft rays, with the first spine being very strong and used for defense, the anal fin has 15-17 soft rays, and the caudal fin is forked; unique_marks: A distinctive characteristic of the Redtoothed triggerfish is the presence of large, red-colored canine teeth in the lower jaw, which are used for defense and intimidation, as well as a series of small, yellow or white spots or stripes on the body that may help with camouflage.","Open waters and current-swept seaward reefs in tropical Indo-Pacific, 0–35 m depth; often seen circling in groups near the surface.",30,8,20,0.9
Yellow boxfish,ปลาปักเป้ากล่องเหลืองลายจุดดำ,Ostracion cubicus,Tetraodontiformes,"A solitary, box-shaped reef fish found in Indo-Pacific and Atlantic oceans. Juveniles are bright yellow with black spots, fading with age. Feeds on algae, sponges, crustaceans, and mollusks. Releases toxic proteins when stressed; warning coloration deters predators. Grows up to 45 cm.","body: The yellow boxfish has a distinctive box-like body shape, which is typically cube-shaped with a rounded front and flat sides, and can grow up to 9 inches in length; colors: They have a bright yellow body with black spots or stripes, often with blue or brown accents on the fins and face; features: They have small dorsal and anal fins, and their scales are often modified into bony plates called scutes, the head is rounded and the mouth is small; unique_marks: A distinctive characteristic of the yellow boxfish is its ability to inflate its body with air or water, making it appear larger, and the unique pattern of spots or stripes on its body, which can vary among individuals.","Coral and rocky reefs in Pacific, Indian, and SE Atlantic oceans; solitary, found at depths of 1–40 m.",25,10,15,0.6
White-spotted boxfish,ปลากล่องลายจุดขาว,Ostracion meleagris,Tetraodontiformes,A box-shaped reef fish found in Indo-Pacific reefs at depths of 1–30 m. Males are black with white spots and blue sides with yellow bands; females and juveniles are dark brown to black with white spots. Grows up to 25 cm; feeds on benthic invertebrates.,"body: The White-spotted boxfish has a box-like body shape, typically growing to a length of 6-8 inches (15-20 cm), with a flat, broad head and a rounded abdomen; size: The species usually reaches a maximum length of 8 inches (20 cm) and weighs around 1.5-3.5 ounces (40-100 grams); colors: The fish has a brownish-yellow or tan color with numerous small white spots covering its body, including the fins, and sometimes it may have yellow or blue spots; features: The White-spotted boxfish has a distinctive head shape with a short snout and small mouth, its body is covered in hexagonal scales, and it has small dorsal and anal fins; unique_marks: The unique identifying characteristic of the White-spotted boxfish is the presence of a distinctive pattern of small white spots on its body, as well as its ability to inflate its body when threatened or stressed, making it appear larger.","Coral and rocky reefs in Indian and Pacific Oceans, 1–30 m depth.",18,8,15,0.4
Yellowmargin triggerfish,ปลาสินสมุทรขอบเหลือง,Pseudobalistes flavimarginatus,Tetraodontiformes,"A large, solitary triggerfish found in Indo-Pacific reefs from the Red Sea to Samoa. Noted for its yellow-edged fins and robust body, it is oviparous and aggressively guards nests. Grows up to 60 cm; may cause ciguatera poisoning if consumed.","body: The Yellowmargin triggerfish has a compressed, oval-shaped body, typically growing up to 30 centimeters in length, with a maximum recorded length of 40 centimeters; colors: The body is primarily grayish-brown with a distinctive yellow margin along the dorsal and anal fins, and a yellow stripe running along the base of the dorsal fin, with a yellowish tint on the belly; features: It has a large head, a long dorsal fin with 3 spines and 24-27 rays, and an anal fin with 3 spines and 23-26 rays, the scales are small and rough to the touch; unique_marks: A distinctive yellow margin on the dorsal and anal fins, and a pair of small, forward-facing spines on the lower jaw, known as trigger spines, which are used for defense and can be locked into place when the fish feels threatened.","Coral reefs, lagoons, and coastal waters in Indo-Pacific (Red Sea, South Africa, Japan, Indonesia, Philippines, Samoa); found at depths of 2–50 m.",50,12,25,2.5
Blue triggerfish,ปลาสินสมุทรน้ำเงิน,Pseudobalistes fuscus,Tetraodontiformes,"A large, aggressive triggerfish found in Indo-Pacific reefs from the Red Sea to New Caledonia. Noted for its blue and yellow coloration and biting behavior, it feeds on shellfish and crustaceans. Grows up to 55 cm; divers avoid due to territorial nature.","body: The Blue triggerfish has a laterally compressed, oval-shaped body with a rounded abdomen, typically growing to an average length of 20-30 centimeters and a maximum length of about 60 centimeters; colors: The body is predominantly blue to blue-green in color with a yellowish tint on the belly, and it has darker blue stripes running horizontally across the body, with a lighter blue stripe running vertically through the eye; features: The fish has a distinctive 'trigger' mechanism on its dorsal fin, which consists of three spines that can be locked into place, and it also has a long, pointed snout and large, protruding teeth; unique_marks: A distinctive characteristic of the Blue triggerfish is the blue and yellow stripes on its face, and the presence of a blue stripe running through the eye, which helps to distinguish it from other triggerfish species.","Reef-associated, coastal waters, shallow lagoons, and seaward reefs in Indo-Pacific (Red Sea, South Africa, Society Islands, Japan, Australia, New Caledonia); found at depths of 30–50 m.",45,10,40,2.2
Halfmoon triggerfish,ปลาสินสมุทรครึ่งพระจันทร์,Sufflamen chrysopterum,Tetraodontiformes,"A solitary triggerfish found in tropical Indo-West Pacific reefs and lagoons. Noted for its halfmoon-shaped caudal fin and vibrant colors, it feeds on small invertebrates like crustaceans and worms. Grows up to 25 cm; often seen near coral.","body: The Halfmoon triggerfish has a laterally compressed, oval-shaped body that can grow up to 12 inches in length, with an average weight of 2-4 pounds; colors: The fish has a vibrant yellowish-brown color on its upper body, gradually transitioning to a pale yellowish-white on the lower body, with blue and yellow stripes on the head and blue spots on the fins; features: It has large dorsal and anal fins, a distinctive 'trigger' mechanism on its dorsal fin that it uses for defense, and rough, sandpapery scales; unique_marks: The most distinctive feature of the Halfmoon triggerfish is the large, crescent-shaped caudal fin, which is yellow with blue spots and has a distinctive 'half-moon' shape, giving the fish its common name.","Seaward reefs and shallow lagoons in tropical Indo-West Pacific; solitary, found near coral at depths of 2–30 m.",20,8,15,0.5
Zebra turkeyfish,ปลาสิงโตลายม้าลาย,Dendrochirus zebra,Scorpaeniformes,"A striking, bottom-dwelling lionfish found in Indo-West Pacific reefs and lagoons. Noted for its orange, white, and black stripes and large fan-like pectoral fins, it has 13 venomous dorsal spines. Grows up to 24 cm; feeds on small crustaceans.","body: The Zebra turkeyfish has a moderately elongated and compressed body shape, typically growing to a length of 20-25 centimeters; colors: The body of the Zebra turkeyfish is primarily yellow with 5-7 vertical brown stripes, while the belly is white, and the fins are yellow with brown spots; features: The Zebra turkeyfish has large dorsal and anal fins with long, pointed spines, and its scales are relatively large and rough to the touch, the head shape is rounded with a long, pointed snout; unique_marks: A distinctive characteristic of the Zebra turkeyfish is the presence of long, venomous spines on its dorsal, anal, and pelvic fins, which it uses for defense purposes.","Coral, pebble, and rock bottoms on reef flats, outer reefs, lagoons, and caves in Indo-West Pacific (Red Sea, Indonesia, Australia); found at depths of 1–80 m.",20,8,40,0.4
Clearfin lionfish,ปลาสิงโตครีบใส,Pterois radiata,Scorpaeniformes,"A nocturnal, carnivorous lionfish found in rocky reefs of the western Indo-Pacific. Noted for its clear, unbanded fins and two white stripes on the caudal peduncle, it has 12–13 venomous dorsal spines. Grows up to 24 cm; feeds on crabs and shrimps.","body: The Clearfin lionfish has a long, slender body with a rounded abdomen and a compressed tail, typically growing to a length of 8-12 inches; colors: The Clearfin lionfish has a white or translucent body with vertical brown or reddish-brown stripes, often with a yellowish tint on the fins and belly; features: It has large, fan-like pectoral fins, long dorsal and anal fins with 13 rays, and small scales that are often difficult to see, its head is relatively small with a short snout and a large mouth; unique_marks: A distinctive feature of the Clearfin lionfish is the absence of dark spots or blotches on its fins, which differentiates it from other lionfish species, it also has a transparent or semi-transparent appearance due to the lack of pigmentation in its fins.","Rocky reefs, caves, and crevices in western Indo-Pacific (South Africa, Red Sea, Indonesia, Society Islands, Ryukyu Islands, Australia, New Caledonia); found at depths of 1–25 m.",20,8,15,0.4
Red lionfish,ปลาสิงโตแดง,Pterois volitans,Scorpaeniformes,"A large, venomous lionfish native to Indo-Pacific reefs, now invasive in the Atlantic and Caribbean. Noted for its red and white stripes and long, fan-like spines, it is a voracious nocturnal predator. Grows up to 47 cm; lives about 10 years.","body: The Red lionfish has a compressed, elongated body shape, typically measuring 5-15 inches in length and weighing up to 2.6 pounds; colors: The Red lionfish has striking coloration patterns, featuring a combination of red, brown, and white stripes or spots, with a predominantly reddish-brown body and white or yellowish belly; features: The species is characterized by long, feathery pectoral fins, short dorsal and anal fins, and a rounded head shape, with a mouth full of tiny, venomous teeth, and large, fan-like dorsal fins with long, venomous spines; unique_marks: One of the most distinctive features of the Red lionfish is the presence of 13 dorsal spines, each equipped with venomous glands, as well as the unique pattern of stripes or spots that vary between individuals, allowing for identification of specific fish.","Coral reefs, rocky areas, lagoons in Indo-Pacific (native) and Atlantic/Caribbean (invasive); found at depths of 1–50 m.",35,10,25,0.8
False stonefish,ปลาหินเทียม,Scorpaenopsis diabolus,Scorpaeniformes,"A venomous, bottom-dwelling scorpionfish found in tropical Indian and Pacific Oceans. Expertly camouflaged among rocks and coral, it ambushes prey and flashes its pectoral fins as a warning. Exhibits biofluorescence; can reach 30 cm.","body: The False stonefish has an elongated and flattened body, with a rounded head and a long, tapering tail, reaching lengths of approximately 20-30 centimeters; colors: The False stonefish displays a mottled brown and grey coloration, often with a lighter underside, allowing it to blend in with its surroundings, and features darker blotches or spots on its back; features: It has large dorsal and anal fins, with the dorsal fin being notched, and a distinctive head shape featuring a long snout, small eyes, and a large mouth; unique_marks: One of its most distinctive features is the presence of small, fleshy filaments or cirri on its head, snout, and around the mouth, which help to distinguish it from other stonefish species, and also has a unique pattern of small, darker spots or blotches on its body.","Seabed among rubble, seaweed-covered rocks, or coralline algae on reef flats, lagoons, and seaward reefs; Indian and Pacific Oceans from Africa and Red Sea to Japan, Hawaii, Australia, and New Caledonia; depths to 70 m.",25,10,35,0.7
Tassled scorpionfish,ปลาหินหนามพู่,Scorpaenopsis oxycephala,Scorpaeniformes,"A venomous, carnivorous scorpionfish found in Indian and Pacific Oceans. Noted for its tassels below the jaw and variable coloration, it is well-camouflaged among reefs. Adults reach up to 36 cm; painful if stepped on due to venomous spines.","body: The Tassled scorpionfish has a stout, elongated body that is slightly compressed laterally, typically growing to a length of 20-40 cm, with a maximum recorded length of about 60 cm; colors: The coloration pattern of the Tassled scorpionfish varies, but it is often mottled brown or reddish-brown with lighter or darker blotches, and sometimes has a yellowish tint on the belly, with the ability to change color to some extent to blend in with its surroundings; features: The Tassled scorpionfish has a distinctive head shape with a long, pointed snout, large eyes, and a mouth that is equipped with many small, sharp teeth, its body is covered with small, rough scales and it has long, thin dorsal fin spines, as well as large pectoral fins with a feathery appearance due to the long filaments on the rays; unique_marks: One of the most distinctive features of the Tassled scorpionfish is the long, thin filaments or 'tassels' that are found on its snout, chin, and the rays of its pectoral fins, which give it its common name, and it also has a distinctive pattern of dark spots or blotches on its dorsal fin.",Reef slopes and coral areas in Indian and Pacific Oceans; found at depths of 1–35 m; often in shallow waters where swimmers may encounter them.,30,10,20,0.8
Powderblue surgeonfish,ปลาหมอทะเลฟ้าผง,Acanthurus leucosternon,Perciformes,"A vibrant, oval-shaped surgeonfish found in tropical Indian Ocean reefs. Noted for its powder blue sides, yellow dorsal fin, and black head, it is herbivorous and territorial. Grows up to 23 cm; prized in aquariums for its striking coloration.","body: The Powderblue surgeonfish has a compressed, oval-shaped body that is typically between 20-30 centimeters in length, with a maximum recorded length of 35 centimeters; colors: The species has a vibrant powder blue color with a yellow belly and a white stripe running along the lateral line, which is often accompanied by a thin blue stripe above and below it; features: The Powderblue surgeonfish has a distinctive scalpel-like spine on either side of the caudal peduncle, which is used for defense, and a long, pointed snout, with a small mouth and a protruding jaw; unique_marks: The species can be identified by the combination of its powder blue coloration, yellow belly, and white stripe along the lateral line, as well as the presence of a distinctive black spot at the base of the dorsal fin and a smaller black spot on the anal fin.","Shallow, clear coastal waters and flat top reefs in tropical Indian Ocean; prefers areas along seaward slopes; always associated with coral reefs.",20,8,10,0.3
Clark's anemonefish,ปลาการ์ตูนคล้าร์ก,Amphiprion clarkii,Perciformes,"A widely distributed, symbiotic anemonefish found in tropical Indian and Western Pacific reefs. Noted for vivid black, white, and yellow stripes, it lives among sea anemones and exhibits color variation by location, sex, and host. Grows up to 15 cm.","body: Clark's anemonefish have a compressed oval body shape with a rounded abdomen, typically growing to a length of about 3.9 to 5.5 inches or 10 to 14 centimeters; colors: They display a vibrant orange color with three white stripes, one behind the eye, one in the middle of the body, and one at the base of the tail, with the stripes often being slightly wavy; features: They have long dorsal and anal fins, small scales, and a relatively small head with a short snout; unique_marks: A distinctive characteristic is the absence of a white stripe on the snout and the presence of a prominent black margin on the outer edge of the dorsal and anal fins, which differentiates Clark's anemonefish from other anemonefish species.",Sheltered reefs and shallow lagoons in tropical Indian Ocean and Western Pacific; lives in symbiosis with all ten host sea anemone species; most widely distributed anemonefish.,12,8,8,0.2
Tomato clownfish,ปลาการ์ตูนมะเขือเทศ,Amphiprion frenatus,Perciformes,"A bright orange-red anemonefish native to Western Pacific reefs from Japan to Indonesia. Noted for its single white head bar outlined in black, it forms symbiotic relationships with anemones. Females are darker; males are smaller and red. Grows up to 14 cm.","body: The Tomato clownfish has a typical clownfish body shape, being oval and slightly compressed, with an average length of 3-5 inches or 7-13 centimeters; colors: The main body color is a vibrant orange-red, with a white stripe behind the eye and above the pectoral fin, and white stripes on the snout and near the caudal fin; features: The Tomato clownfish has a rounded head, long dorsal fin, and a short, pointed snout, with small, rough scales; unique_marks: A distinctive characteristic of the Tomato clownfish is the white stripe behind the eye that is often broken into two separate stripes, and the white stripe on the snout that often extends to the mouth.","Sheltered reefs and lagoons in Western Pacific (Japan, South China Sea, Malaysia, Indonesia); associated mainly with bubble-tip anemone (Entacmaea quadricolor), sometimes sebae anemone (Heteractis crispa). Territorial and aggressive when mature.",12,7,8,0.2
Ocellaris clownfish,ปลาการ์ตูนส้ม,Amphiprion ocellaris,Perciformes,"A small, stocky anemonefish found in Eastern Indian and Western Pacific reefs. Noted for its orange to black coloration and three white bands, it forms symbiotic relationships with sea anemones. Grows up to 11 cm; popular in aquariums and research.","body: The Ocellaris clownfish has a oval-shaped body, typically growing to a length of 3-5 inches (7.5-13 cm) with a maximum recorded length of about 5.5 inches (14 cm); colors: The Ocellaris clownfish is predominantly orange in color with three white stripes, one behind the eye, one in the middle of the body, and one at the base of the tail, with black outlines on the fins and stripes; features: It has a rounded head, a small mouth, and a long dorsal fin that is divided into two parts, the anterior part having 10-11 spines and the posterior part having 15-17 rays, its anal fin has 2 spines and 13-15 rays, and its body is covered in small, rough scales; unique_marks: A distinctive characteristic of the Ocellaris clownfish is the absence of pelvic fins, and it also has a unique symbiotic relationship with certain species of sea anemones, which provide it with protection from predators.","Outer reef slopes and sheltered lagoons in Eastern Indian Ocean and Western Pacific (Northern Australia, Southeast Asia, Japan); lives in symbiosis with Heteractis magnifica, Stichodactyla gigantea, and Stichodactyla mertensii; found to 15 m depth.",9,6,8,0.1
Pink skunk clownfish,ปลาการ์ตูนชมพู,Amphiprion perideraion,Perciformes,"A small, pink to peach anemonefish with a white dorsal stripe and head bar. Found in Indo-Pacific reefs, it forms symbiotic relationships with several host anemones. Sequential hermaphrodite, primarily feeds on algae, and exhibits strict size-based dominance hierarchy.","body: The Pink skunk clownfish has a typical clownfish body shape, which is oval and slightly compressed, with a rounded abdomen, it is a relatively small species, typically growing to a length of about 3-4 inches; colors: The Pink skunk clownfish has a pinkish-brown body with a white stripe running behind the eye, and a second white stripe that starts at the mid-body and curves backward, the belly area is usually pale yellow to white; features: It has a small mouth and a protruding snout, the dorsal fin is long and continuous, with 10-11 spines and 17-19 soft rays, the anal fin has 2 spines and 13-15 soft rays, the scales are small and smooth; unique_marks: The distinctive feature of the Pink skunk clownfish is the white stripe behind the eye and the second white stripe that curves backward from the mid-body, these stripes can be used to distinguish it from other clownfish species, it also lacks the orange or red coloration that is typical of many other clownfish species.","Reef lagoons and outer reef slopes in Indo-Pacific (Northern Australia, Malay Archipelago, Melanesia, Ryukyu Islands, Sumatra); depths 3–65 m; often shares host anemones with other species.",10,6,20,0.1
Green humphead parrotfish,ปลากะพงหัวโหนกเขียว,Bolbometopon muricatum,Perciformes,"The largest parrotfish, reaching 1.5 m and 75 kg, with a bulbous forehead and exposed teeth plates. Found in Indian and Pacific reefs, it feeds on algae and live coral, contributing to reef bioerosion. Gregarious, slow-growing, and threatened by overfishing.","body: The Green humphead parrotfish has a robust, elongated body shape, typically growing to a length of 30-90 centimeters, with a maximum recorded length of 1.2 meters; size: The average weight of the species is around 20 kilograms, with a maximum recorded weight of 46 kilograms; colors: The Green humphead parrotfish displays a vibrant green coloration on its back, gradually transitioning to a lighter green or yellowish-green towards the belly, often with a yellow or white stripe running along the lateral line; features: The species is characterized by a distinctive hump on its forehead, which is more pronounced in males, and a parrot-like beak formed by fused teeth; unique_marks: A notable unique identifying characteristic of the Green humphead parrotfish is the presence of a distinctive green stripe that runs from the snout to the eye, and the vibrant green coloration on the dorsal and anal fins, which are also adorned with yellow or white highlights.","Clear outer lagoons, seaward reefs, and branching coral habitats in Indian and Pacific Oceans (Red Sea to Samoa, Yaeyama Islands to Great Barrier Reef); juveniles in lagoons and seagrass beds; adults to 30 m depth.",150,40,30,75
Yellowback fusilier,ปลาหางเหลืองหลังเหลือง,Caesio xanthonota,Perciformes,"A small to medium-sized, spindle-shaped fusilier with a bright yellow back and tail, greyish blue sides, and white belly. Found in Indo-Pacific lagoons and reefs, it forms schools and feeds on zooplankton. Diurnal, planktivorous, grows up to 40 cm.","body: The Yellowback fusilier has a slender, elongated body shape, typically growing to a length of 30-40 centimeters, with a maximum recorded length of about 50 centimeters; colors: Its body is predominantly blue or blue-green in color, with a bright yellow stripe running along its back from the head to the tail, and a white or pale yellow belly; features: It has a pointed snout and a relatively small mouth, with a dorsal fin that has 11-12 spines and 9-10 soft rays, and an anal fin with 3 spines and 9-10 soft rays; unique_marks: A distinctive characteristic of the Yellowback fusilier is its bright yellow stripe on its back, which is often accompanied by a series of blue or yellow spots or stripes on the dorsal and anal fins.",Mid-water in deep lagoons and near external reefs in tropical Indo-Pacific (African coast to Indonesia); found from surface to 50 m depth; forms schools with other caesionids.,40,8,30,0.5
Yellowspotted trevally,ปลาหางเหลืองจุดทอง,Carangoides fulvoguttatus,Perciformes,"A large, predatory jack with golden spots above the midline, growing up to 1.2 m and 18 kg. Found in Indo-Pacific rocky and coral reefs, it feeds on fish, crustaceans, and cephalopods. Highly valued as a sportfish; forms spawning aggregations.","body: The Yellowspotted trevally has an elongated, fusiform body shape, typically growing to a maximum length of 50 centimeters and a maximum weight of 1.5 kilograms, with a relatively compressed body; colors: The body of the Yellowspotted trevally is generally a metallic blue-green color with a yellowish tint on the sides and belly, featuring numerous small yellow spots that are scattered over the body, with a distinctive yellow stripe running along the lateral line; features: The Yellowspotted trevally has a pointed snout, a moderately large eye, and a small mouth with a protruding lower jaw, featuring a single dorsal fin with 8 spines and 19-21 soft rays, and a forked caudal fin; unique_marks: A distinctive characteristic of the Yellowspotted trevally is the presence of small yellow spots covering the entire body, which fade with age, and a yellow stripe running along the lateral line that remains visible throughout its life.","Inshore lagoons, rocky and coral reefs, seagrass beds, and deep sand banks in tropical/subtropical Indo-Pacific (South Africa to Japan, Australia, Palau, Tonga); found to 100 m depth; intolerant of low salinity.",120,15,50,18
Giant trevally,ปลาอินทรีย์ยักษ์,Caranx ignobilis,Perciformes,"The largest Caranx species, reaching up to 170 cm and 80 kg. An apex predator found in Indo-Pacific reefs, lagoons, estuaries, and offshore atolls. Hunts fish, crustaceans, and cephalopods; known for powerful predation and gamefish status. Populations declining in some regions.","body: The Giant trevally has a streamlined, elongated body shape, typically silver or blue-gray in color, with a rounded abdomen and a pointed snout, and can grow up to 1.7 meters in length and weigh up to 60 kilograms, although the average length is around 1 meter; colors: The body is usually metallic blue or blue-gray above and silvery below, with a golden sheen on the sides, and sometimes has a darker blue or black spot on the upper operculum; features: The Giant trevally has a distinctive pointed snout, a sloping forehead, and a large mouth with many small teeth, its dorsal fin is divided into two separate fins, the first with 5 spines and the second with 1 spine and 20-24 soft rays, and its anal fin has 2 spines and 16-18 soft rays, the scales are small and cycloid; unique_marks: A distinctive characteristic of the Giant trevally is the presence of small, darker blue or black spots on the upper operculum and sometimes on the sides, and the golden sheen on the sides that can be visible in certain lighting conditions.","Coral and rocky reefs, lagoons, estuaries, embayments, tidal flats, offshore atolls in tropical/subtropical Indo-Pacific (South Africa to Hawaii, Japan, Australia); juveniles in rivers and lakes; adults to depths >80 m.",120,24,50,80
Bluefin trevally,ปลาอินทรีย์ครีบน้ำเงิน,Caranx melampygus,Perciformes,"A large, predatory jack with electric blue fins and blue-black spots, found in tropical Indo-Pacific reefs, lagoons, and offshore atolls. Hunts fish, cephalopods, and crustaceans; juveniles prefer shallower waters. Popular gamefish, but may cause ciguatera poisoning.","body: The Bluefin trevally has a moderately compressed, elongated body with a rounded abdomen and a pointed snout, typically growing up to 70 centimeters in length, but can reach up to 1 meter; colors: The Bluefin trevally has a blue-green back, silvery sides, and a white belly, with a distinctive blue stripe running along the lateral line, and a yellow or golden stripe above and below the lateral line; features: The Bluefin trevally has a pointed snout, a relatively small mouth, and a distinctive dorsal fin with a long base and a pointed tip, the anal fin is similar in shape to the dorsal fin but slightly smaller, the scales are relatively small and cycloid; unique_marks: A distinctive blue stripe running along the lateral line and a yellow or golden stripe above and below the lateral line, as well as a black spot on the upper operculum and a black blotch on the operculum.","Bays, lagoons, coral and rocky reefs, sand flats, seagrass meadows, estuaries, and offshore atolls in tropical/subtropical Indo-Pacific (East Africa to Central America, Japan, Australia, Hawaii); juveniles inshore, adults deeper to 183 m.",80,15,50,20
Bigeye trevally,ปลาอินทรีย์ตาโต,Caranx sexfasciatus,Perciformes,"A large, schooling jack found in tropical Indo-Pacific reefs, bays, and offshore islands. Noted for its nocturnal feeding, dark second dorsal fin with white tip, and small opercular spot. Hunts fish, crustaceans, and cephalopods; juveniles inshore, adults deeper.","body: The Bigeye trevally has a streamlined, elongated body shape with a slightly compressed lateral profile, typically growing to a maximum length of 80 centimeters and weighing up to 18 kilograms, although the average length is around 40-60 centimeters; colors: The body is a silvery-gray color with a blue-green back and white belly, sometimes displaying a yellowish tint on the sides, and often featuring a series of darker vertical stripes or spots along the sides; features: The Bigeye trevally has a pointed snout, large eyes, and a slightly curved dorsal profile, with a single dorsal fin, a small adipose eyelid, and a forked caudal fin, its scales are small and cycloid; unique_marks: A distinctive characteristic of the Bigeye trevally is its large eyes, which are significantly larger than those of other trevally species, and its unique pattern of vertical stripes or spots along the sides, which can help distinguish it from other similar species.","Coral and rocky reefs, bays, lagoons, estuaries, sandy flats, offshore islands, and seamounts in tropical/subtropical Indo-Pacific (South Africa to California, Ecuador, Japan, Australia, Hawaii); juveniles inshore, adults to 100 m depth.",70,12,50,8
Argus grouper,ปลาเก๋าจุดฟ้า,Cephalopholis argus,Perciformes,"A medium-sized, territorial grouper found in Indo-Pacific coral reefs. Noted for its dark brown body covered in hundreds of iridescent blue spots, it reaches up to 60 cm. Males defend harems; invasive in Hawaii; popular gamefish and aquarium resident.","body: The Argus grouper has an elongated, robust body shape with a slightly rounded abdomen and a relatively long, pointed snout, typically growing up to 1.7 meters in length and weighing up to 70 kilograms; colors: It has a brownish-gray color with numerous small, darker spots and blotches, often forming a distinctive pattern of vertical stripes on the sides, while the belly is usually pale yellowish-brown; features: The Argus grouper has a distinctive pattern of spots on its fins, with the dorsal fin having 11 spines and 16-17 soft rays, the anal fin having 3 spines and 8-9 soft rays, and the caudal fin being rounded, its scales are ctenoid, and the head is relatively large with a protruding lower jaw; unique_marks: One of its unique identifying characteristics is a series of small, dark spots or blotches on the operculum, forming a distinctive pattern, and the presence of a distinctive dark stripe running through the eye, from the snout to the operculum.","Coral reefs, rocky areas, and lagoons in tropical Indo-Pacific (Red Sea, East Africa, Japan, Australia, Hawaii); prefers coral heads and crevices; invasive in Hawaii; found at depths of 2–40 m.",40,15,20,2
